Brand,Product Name,Price (RM),Discount (%),Product Image URL,SKU,Description,Installment,Rating,Reviews
NIKE,NIKE COURT VISION LOW NEXT NATURE MEN'S SHOES WHITE,RM275.00,N/A,//al-ikhsan.com/cdn/shop/files/d_h_dh2987-101_1.jpg?crop=center&height=1100&v=1724662116&width=1100,SKU: DH2987-101-7,"Nike Court Vision Low Next NatureMen's ShoesFRESH OFF THE COURT.In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low. A classic remixed with at least 20% recycled materials by weight, its crisp upper and stitched overlays keep the soul of the original style. The plush, low-cut collar keeps it sleek and comfortable for your world.Made with at least 20% recycled material by weight.Whenever you see the Nike Sunburst or the name Next Nature (NN), you see one more step on our journey toward zero carbon and zero waste.Using synthetic materials, the design features materials that echo mid-1980s basketball shoes.Padded, low-cut collar looks sleek and feels great while the perforations on the toe and sides add comfort and breathability. More Details 

Perforations on the toe and sides
Rubber outsole",3 payments of  RM91.66 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Court Classic Vulcanized FS Men's Sneakers Beige,RM167.30,30%,//al-ikhsan.com/cdn/shop/files/396353_01_f.jpg?crop=center&height=1100&v=1724054791&width=1100,SKU: 396353 01-8,"PUMA Court Classic Vulcanized FS Men's Sneakers Beige
View Product Details

X
 PUMA Court Classic Vulcanized FS Men's Sneakers Beige",3 payments of  RM55.76 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE AIR MAX SC MEN'S SHOES WHITE,RM179.40,40%,//al-ikhsan.com/cdn/shop/files/c_w_cw4555-102_f.jpg?crop=center&height=1100&v=1723016388&width=1100,SKU: CW4555-102-7,"Nike Air Max SCMen's ShoesOLD SCHOOL LOOK. NEW SCHOOL COMFORT.With its easy going lines, heritage track look and of course, visible Air cushioning, the Nike Air Max SC is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.Real and synthetic leather combine with mesh for a durable construction that's breathable and comfortable to wear all day.Originally designed for running, the Max Air unit delivers lightweight cushioning with every step.The foam midsole adds cushioning to last.The rubber outsole provides traction and durability. More Details 
Traditional lacing
Flex grooves in sole let your foot move naturally

PRODUCT COLOUR :  White/ Black-White",3 payments of  RM59.80 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Cloudfoam Go Lounger Men's Shoes Black,RM223.20,20%,//al-ikhsan.com/cdn/shop/files/id4019_f.jpg?crop=center&height=1100&v=1723083661&width=1100,SKU: ID4019-7,Adidas Cloudfoam Go Lounger Men's Shoes BLACK,3 payments of  RM74.40 with,"4 full, 0 half, 1 off",Comfortable shoes...
NIKE,Nike Full Force Low Men's Shoes White,RM316.00,20%,//al-ikhsan.com/cdn/shop/files/fb1362-002_f.jpg?crop=center&height=1100&v=1723092830&width=1100,SKU: FB1362-002-10,"Nike Full Force LowMen's ShoesA new shoe with old-school appeal your retro dreams just came true. This pared-back design references the classic AF1, then leans into '80s style with throwback stitching and varsity-inspired colors. Not everything has to be a throwback, though modern comfort and durability make them easy to wear anytime, anywhere. Time to throw them on and go full force.Leather upper ages to soft perfection.Choose from a variety of varsity-inspired colorways to match every mood and look.Exposed foam lets you feel the softness running fully underfoot. More Details 

Foam midsole
Rubber outsole",3 payments of  RM105.33 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Court Classic Vulc Men's Sneakers Black,RM167.30,30%,//al-ikhsan.com/cdn/shop/files/395020_03_f.jpg?crop=center&height=1100&v=1723087553&width=1100,SKU: 395020 03-10,PRODUCT COLOUR :  Puma Black/ Puma White,3 payments of  RM55.76 with,"2 full, 0 half, 3 off",Strangely small for its size
ADIDAS,Adidas Racer TR21 Men's Shoes Black,RM174.50,50%,//al-ikhsan.com/cdn/shop/files/gz8185_f.jpg?crop=center&height=1100&v=1724041321&width=1100,SKU: GZ8185-6,"PRODUCT DESCRIPTIONS
RUNNING-INSPIRED SHOES FOR DAILY WEAR.
Bring the comfort and athletic style of running footwear to your everyday look in these adidas shoes. Step through your day confidently with a snug fit and a lightweight midsole that cushions your feet with every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.
PRODUCT DETAILS
-  Lace closure
-  Textile upper
-  Soft feel
-  Cloudfoam midsole
-  Textile lining
-  Rubber outsole
-  Primegreen
-  Product Colour : Grey Six / Core Black / Sonic Ink F21Adidas Racer TR21 Men's Shoes Black",3 payments of  RM58.16 with,"5 full, 0 half, 0 off",Superb
NIKE,Nike Waffle Debut Men's Shoes Brown,RM237.30,30%,//al-ikhsan.com/cdn/shop/files/fj4196-200_f.jpg?crop=center&height=1100&v=1723090758&width=1100,SKU: FJ4196-200-8,"Nike Waffle DebutMen's ShoesRetro running style gets modernized in the Nike Waffle Debut. Era-echoing suede and nylon pair with a modern wedge-shaped midsole for a look that feels fresh, but classic. Of course, we kept our tried, true and trusted Waffle outsole on the bottom to add durable traction and a touch of character to every step.Nylon and soft suede overlays nod to vintage running roots while textile underlays add durability.Swoosh logos wrap around your heels to form pull tabs, adding aesthetic appeal to on-and-off functionality.Plush foam midsole gives you elevated look and all-day comfort.Rubber Waffle outsole adds durable traction and heritage style. More Details 

Padded collar
Exposed foam tongue
Perforations on heel

PRODUCT COLOUR :  Neutral Olive/ Medium Olive/ Dark Stucco",3 payments of  RM79.10 with,"0 full, 0 half, 5 off",N/A
AL,AL Men's Shoes Black,RM83.40,40%,//al-ikhsan.com/cdn/shop/files/bj-8103m-0135_f.jpg?crop=center&height=1100&v=1724041933&width=1100,SKU: BJ-8103M-0135-10,"AL Men's Shoes Black
View Product Details

X
 AL Men's Shoes Black",3 payments of  RM27.80 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Court Classic Vulcanized FS Men's Sneakers Beige,RM167.30,30%,//al-ikhsan.com/cdn/shop/files/395020_01_1.jpg?crop=center&height=1100&v=1729753921&width=1100,SKU: 395020 01-6,PUMA Court Classic Vulcanized FS Men's Sneakers Beige,3 payments of  RM55.76 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE MEN AIR MAX EXCEE LIFESTYLE WHITE,RM244.30,30%,//al-ikhsan.com/cdn/shop/files/c_d_cd4165-100_f.jpg?crop=center&height=1100&v=1723017125&width=1100,SKU: CD4165-100-10,"Nike Air Max ExceeMen's ShoeICONIC DESIGN WITH A MODERN TWIST.Inspired by the Nike Air Max 90, the Nike Air Max Excee is a celebration of a classic through a new lens. Elongated lines and distorted proportions on the upper bring the '90s look you love into a new, modern space.Visible AirThe Air-Sole unit is visible through 3 windows for an updated look.Lightweight ComfortThe foam midsole and outsole provide comfort without weighing you down.Modern LookElongated design lines honor the Air Max 90 while modernizing it in a provocative way. More Details 

Mesh, leather and suede upper with synthetic leather overlays
Not intended for use as Personal Protective Equipment (PPE)",3 payments of  RM81.43 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Showtheway 2.0 Men's Shoes Navy,RM114.50,50%,//al-ikhsan.com/cdn/shop/files/gy4702_f.jpg?crop=center&height=1100&v=1723083748&width=1100,SKU: GY4702-3H,Adidas Showtheway 2.0 Men's Shoes NAVY,3 payments of  RM38.16 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE AIR MAX SC MEN'S SHOES BLACK,RM209.30,30%,//al-ikhsan.com/cdn/shop/files/c_w_cw4555-002_f.jpg?crop=center&height=1100&v=1723016378&width=1100,SKU: CW4555-002-10,"Nike Air Max SCMen's ShoeOLD SCHOOL LOOK. NEW SCHOOL COMFORT.With its easy going lines, heritage track look and of course, visible Air cushioning, the Nike Air Max SC is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.Leather, textile and mesh combine for a durable construction that's breathable and comfortable to wear all day.Originally designed for running, the Max Air unit delivers lightweight cushioning with every step.The foam midsole adds cushioning to last.The rubber outsole provides traction and durability. More Details 

Traditional lacing
Flex grooves in sole let your foot move naturally",3 payments of  RM69.76 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Cloudfoam Move Lounger Men's Shoes in Black,RM160.30,30%,//al-ikhsan.com/cdn/shop/files/id6512_f.jpg?crop=center&height=1100&v=1724662507&width=1100,SKU: ID6512-6,Adidas Cloudfoam Move Lounger Men's Shoes BLACK,3 payments of  RM53.43 with,"0 full, 0 half, 5 off",N/A
ADIDAS,ADIDAS Urban Court Men's Shoes White,RM206.10,10%,//al-ikhsan.com/cdn/shop/files/ie0927_f.jpg?crop=center&height=1100&v=1723090215&width=1100,SKU: IE0927-6H,"PRODUCT DESCRIPTIONS
LAID-BACK SHOES WITH EASY STYLE, MADE IN PART WITH RECYCLED MATERIALS.
A streamlined modern profile gives these adidas shoes a fresh perspective on everyday life. They feature a flexible synthetic upper that rides on a rubber outsole for a solid, grippy step. Their timeless look pairs well with anything for stylish versatility.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
-  Regular fit
-  Lace closure
-  Synthetic upper
-  Synthetic lining
-  Rubber outsole
-  Colour: Cloud White / Cloud White / Core Black",3 payments of  RM68.70 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Cloudfoam Go Sock Men's Shoes Black,RM209.30,30%,//al-ikhsan.com/cdn/shop/files/id4036_f_1.jpg?crop=center&height=1100&v=1729752613&width=1100,SKU: ID4036-6,Adidas Cloudfoam Go Sock Men's Shoes BLACK,3 payments of  RM69.76 with,"5 full, 0 half, 0 off",Nice shoes and comfort
NIKE,NIKE AIR MAX SYSTM MEN'S SHOES GREY,RM239.40,40%,//al-ikhsan.com/cdn/shop/files/d_m_dm9537-007_f.jpg?crop=center&height=1100&v=1723026975&width=1100,SKU: DM9537-007-10,"View Product Details
        





X

        Nike Air Max SYSTMMen's ShoesLooks Max, feels Max. The Air Max SYSTM brings back everything you love about your favorite '80s vibes (without the parachute pants). Tried-and-true visible Nike Air cushioning pairs with a sleek, sport-inspired upper. It's Air Max delivering again.Air Max AttitudeOriginally designed for performance running, Max Air cushioning delivers time-tested comfort.Vintage VibesInspired by all your favorite Air Max models from the '80s, you get heritage aesthetics with a modern feel.Lasting StyleMixed material upper delivers durability and breathability while a rubber outsole adds traction that lasts.
PRODUCT COLOUR :  Lt Smoke Grey/ Blue Tint-Iron Grey-Black",3 payments of  RM79.80 with,"5 full, 0 half, 0 off",All good
PUMA,Puma RS X 3D Men's Sneakers BLACK,RM284.50,50%,//al-ikhsan.com/cdn/shop/files/390025_07_1.jpg?crop=center&height=1100&v=1729755026&width=1100,SKU: 390025 07-10,"View Product Details
        





X

PRODUCT STORY
Add a new dimension to your look in bold strides. The revolution of self expression starts here.  with disruptive shapes and bright contrasts that make their mark on the world   just like you.
FEATURES and  BENEFITS
Running System.  PUMA's comfortable cushioning technology celebrates the reinvention of a unique moment and movement in culture
PRODUCT DETAILS
   Textile and mesh upper with synthetic overlays
   Lightweight PU midsole
   Rubber outsole
   Nano printed PUMA Formstrip on lateral and medial sides
   PUMA branding on tongue label
   Rubber heel piece with PUMA branding
PRODUCT COLOUR .   Puma Black/  Puma Red",3 payments of  RM94.83 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max SC Men's Shoes Grey,RM239.20,20%,//al-ikhsan.com/cdn/shop/files/cw4555-016_f.jpg?crop=center&height=1100&v=1723092455&width=1100,SKU: CW4555-016-8H,"Nike Air Max SCMen's ShoesOLD SCHOOL LOOK. NEW SCHOOL COMFORT.With its easy going lines, heritage track look and of course, visible Air cushioning, the Nike Air Max SC is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.Real and synthetic leather combine with mesh for a durable construction that's breathable and comfortable to wear all day.Originally designed for running, the Max Air unit delivers lightweight cushioning with every step.The foam midsole adds cushioning to last.The rubber outsole provides traction and durability. More Details 

Traditional lacing
Flex grooves in sole let your foot move naturally
Color: Wolf Grey/Dark Team Red-Burgundy Crush",3 payments of  RM79.73 with,"5 full, 0 half, 0 off",i love it.. so cantikkkkk :>
PUMA,PUMA Softride Flex Slip-On Knit Men's Shoes Black,RM160.30,30%,//al-ikhsan.com/cdn/shop/files/309833_01_f.jpg?crop=center&height=1100&v=1723090165&width=1100,SKU: 309833 01-10,"PRODUCT DESCRIPTIONS
PUMA's SOFTRIDE technology represents an advancement in footwear comfort. It incorporates our softest foam, designed to deliver extreme cushioning that promotes sustained comfort throughout the day. The SOFTRIDE midsole, softer and lighter than traditional EVA, extends through the full length of the shoe. This innovative construction enhances the wearer's experience, providing lightweight support during daily activities.

Step in everyday to comfort and performance to a whole new level. With its laceless upper construction, you have an ergonomic shape, while the breathable materials gives you the support and flexibility you need. The comfort sockliner, meanwhile, provides all-day cushioning. Add to that the classic PUMA logo and you have a pair of sneakers that are ideal for everyday wear.
PRODUCT DETAILS
Heel type: Flat
Shoe width: Wide fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Low boot construction
Slip-on upper construction
SoftFoam+ sockliner for cushioning and comfort
Textile upper
Zoned rubber outsole
PUMA cat logo at back.",3 payments of  RM53.43 with,"5 full, 0 half, 0 off",Lembut .sedap berjalan atas lantai..untuk yang bekerja banyak berjalan
AL,AL Men's Shoes White,RM83.40,40%,//al-ikhsan.com/cdn/shop/files/bj-8103m-12_f.jpg?crop=center&height=1100&v=1723087387&width=1100,SKU: BJ-8103M-12-8,AL Men's Shoes White,3 payments of  RM27.80 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Racer TR21 Men's Shoes Navy,RM174.50,50%,//al-ikhsan.com/cdn/shop/files/hp2721_f.jpg?crop=center&height=1100&v=1723083181&width=1100,SKU: HP2721-7H,"PRODUCT DESCRIPTIONS
RUNNING-INSPIRED SHOES FOR DAILY WEAR.
Bring the comfort and athletic style of running footwear to your everyday look in these adidas shoes. Step through your day confidently with a snug fit and a lightweight midsole that cushions your feet with every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.
PRODUCT DETAILS
-  Lace closure
-  Textile upper
-  Soft feel
-  Cloudfoam midsole
-  Textile lining
-  Rubber outsole
-  Primegreen
-  Product Colour : Legend Ink / Cloud White / Better Scarlet",3 payments of  RM58.16 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE COURT LEGACY MEN'S SHOES WHITE,RM215.20,20%,//al-ikhsan.com/cdn/shop/files/d_h_dh3162-100_f.jpg?crop=center&height=1100&v=1723016496&width=1100,SKU: DH3162-100-10,"Nike Court LegacyMen's ShoesCOURT-INSPIRED CLASSIC.Honoring a history rooted in tennis culture, the Nike Court Legacy brings you a time-tested staple. Its pebbled upper, heritage stitching and retro Swoosh design let you blend sport and fashion. And, you get to do good by looking good.This product is made with at least 20% recycled materials by weight.Pebbled upper provides high-quality durability and comfort.Full-length rubber outsole with herringbone traction pattern delivers multi-surface traction. More Details 

Canvas detailing
Low-cut, padded collar looks sleek and feels great

PRODUCT COLOUR :White/ Black/ Desert Ochre",3 payments of  RM71.73 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max SC Men's Shoes White,RM209.30,30%,//al-ikhsan.com/cdn/shop/files/cw4555-107_f.jpg?crop=center&height=1100&v=1724662074&width=1100,SKU: CW4555-107-10,"Nike Air Max SCMen's ShoesOLD SCHOOL LOOK. NEW SCHOOL COMFORT.With its easy going lines, heritage track look and of course, visible Air cushioning, the Nike Air Max SC is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.Real and synthetic leather combine with mesh for a durable construction that's breathable and comfortable to wear all day.Originally designed for running, the Max Air unit delivers lightweight cushioning with every step.The foam midsole adds cushioning to last.The rubber outsole provides traction and durability. More Details 

Traditional lacing
Flex grooves in sole let your foot move naturally

PRODUCT COLOUR :  White/ Wolf Grey-University Red-Black",3 payments of  RM69.76 with,"5 full, 0 half, 0 off",Nice
ADIDAS,Adidas Cloudfoam Go Lounger Men's Shoes Blue,RM195.30,30%,//al-ikhsan.com/cdn/shop/files/id4020_f.jpg?crop=center&height=1100&v=1723083652&width=1100,SKU: ID4020-7,Adidas Cloudfoam Go Lounger Men's Shoes BLUE,3 payments of  RM65.10 with,"3 full, 1 half, 1 off","If you plan to buy it for work purposes, please take a sketcher."
ADIDAS,Adidas Cloudfoam Go Sock Men's Shoes Blue,RM209.30,30%,//al-ikhsan.com/cdn/shop/files/ID4037_1_f0f6f6af-b23d-4304-8ca8-809421dfe7b2.jpg?crop=center&height=1100&v=1729752989&width=1100,SKU: ID4037-8H,Adidas Cloudfoam Go Sock Men's Shoes BLUE,3 payments of  RM69.76 with,"5 full, 0 half, 0 off",Shoes fits great. Soft and supportive where required. The experience is truly like  walking on clouds!
NIKE,NIKE AIR MAX EXCEE MEN'S SHOES BLACK,RM263.40,40%,//al-ikhsan.com/cdn/shop/files/d_z_dz0795-001_f.jpg?crop=center&height=1100&v=1723027793&width=1100,SKU: DZ0795-001-10,"View Product Details
        





X

        Nike Air Max ExceeMen's ShoesGet into the groove with the Air Max Excee, featuring subtle pops of color for style that defies time. Inspired by the Air Max 90, these kicks deliver a modern twist on a legendary icon through elongated design lines and distorted proportions.Upper combines mesh and leather for a layered look that's breathable and durable.Visible through 3 windows, Max Air cushioning has just the right amount of support.Padded, low-cut collar looks sleek and feels comfortable. More Details 

Stitched overlays
Foam midsole
Rubber outsole

PRODUCT COLOUR :  Black/ Wolf Grey-Team Red-Black",3 payments of  RM87.80 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE COURT LEGACY CANVAS MEN'S SHOES WHITE,RM123.00,40%,//al-ikhsan.com/cdn/shop/files/c_w_cw6539-100_f.jpg?crop=center&height=1100&v=1723016468&width=1100,SKU: CW6539-100-9,"Nike Court Legacy CanvasMen's ShoesA COURT ICON, REIMAGINED FOR THE STREET.Honoring its history in tennis culture, the Nike Court Legacy Canvas reinvents a classic with its modern, street-worthy design. Made with durable canvas and featuring heritage details, the style nods to those that inspired us all to carry sport and fashion beyond the boundary.The deconstructed upper features durable canvas.The foam insole offers lightweight, responsive cushioning.Full-length rubber outsole with herringbone traction pattern delivers multi-surface traction. More Details 

Plush foam insole
Swoosh license plate on back heel tape",3 payments of  RM41.00 with,"5 full, 0 half, 0 off",Good service
ADIDAS,ADIDAS MEN CORERACER SHOES LIFESTYLE BLACK,RM114.50,50%,//al-ikhsan.com/cdn/shop/files/f_x_fx3593_f.jpg?crop=center&height=1100&v=1723001485&width=1100,SKU: FX3593-8,"The adidas Coreracer Shoes strike a perfect balance of running support and streetwear style. They're lightweight and breathable, to keep feet wrapped in all-day comfort. The adidas Badge of Sport completes the performance look.",3 payments of  RM38.16 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Racer TR21 Men's Shoes Black,RM174.50,50%,//al-ikhsan.com/cdn/shop/files/gz8184_f.jpg?crop=center&height=1100&v=1726655905&width=1100,SKU: GZ8184-10,"PRODUCT DESCRIPTIONS
RUNNING-INSPIRED SHOES FOR DAILY WEAR.
Bring the comfort and athletic style of running footwear to your everyday look in these adidas shoes. Step through your day confidently with a snug fit and a lightweight midsole that cushions your feet with every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.
PRODUCT DETAILS
-  Lace closure
-  Textile upper
-  Soft feel
-  Cloudfoam midsole
-  Textile lining
-  Rubber outsole
-  Primegreen
-  Product Colour : Core Black / Cloud White / Core Black",3 payments of  RM58.16 with,"5 full, 0 half, 0 off","Bought this during Sales, and fits perfectly with me and have been using it since then. The design was superb, also made from recycle items made it more special. A must have for Adidas fans."
ADIDAS,ADIDAS SHOWTHEWAY 2.0 MEN S SHOES,RM206.10,10%,//al-ikhsan.com/cdn/shop/files/g_y_gy6348_f.jpg?crop=center&height=1100&v=1726655835&width=1100,SKU: GY6348-10,"PRODUCT DESCRIPTIONS
RUNNING SHOES FOR ALL DAY COMFORT, MADE IN PART WITH RECYCLED MATERIALS.
Whether you re stepping out for a morning jog through the neighbourhood or wanting to bring some running inspiration to your everyday wardrobe, lace up in these adidas shoes. The lightweight mesh upper is breathable, to keep feet cool even in warm weather, while a cushioned midsole cradles every step for all day comfort. Classic 3 Stripes graphics keep your look rooted in sports.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
   Regular fit
   Lace closure
   Mesh upper
   Synthetic lining
   Cushioned midsole
   Flex grooves
   Rubber outsole
   Upper contains a minimum of 50% recycled content
   Product Colour: Core Black / Cloud White / Core Black",3 payments of  RM68.70 with,"0 full, 0 half, 5 off",N/A
ADIDAS,ADIDAS SHOWTHEWAY 2.0 MEN S SHOES,RM114.50,50%,//al-ikhsan.com/cdn/shop/files/g_y_gy6346_f.jpg?crop=center&height=1100&v=1726655805&width=1100,SKU: GY6346-6H,"PRODUCT DESCRIPTIONS
RUNNING SHOES FOR ALL DAY COMFORT, MADE IN PART WITH RECYCLED MATERIALS.
Whether you re stepping out for a morning jog through the neighbourhood or wanting to bring some running inspiration to your everyday wardrobe, lace up in these adidas shoes. The lightweight mesh upper is breathable, to keep feet cool even in warm weather, while a cushioned midsole cradles every step for all day comfort. Classic 3 Stripes graphics keep your look rooted in sports.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
   Regular fit
   Lace closure
   Mesh upper
   Synthetic lining
   Cushioned midsole
   Flex grooves
   Rubber outsole
   Upper contains a minimum of 50% recycled content
   Product Colour: Cloud White / Chalk White / Chalk White",3 payments of  RM38.16 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Club Men's Shoes Black,RM230.30,30%,//al-ikhsan.com/cdn/shop/files/381111_27_f.jpg?crop=center&height=1100&v=1723090116&width=1100,SKU: 381111 27-11,"PRODUCT DESCRIPTIONS
Show perfect style on the streets with this football-inspired model. Our PUMA Club sneakers combine a suede upper with classic PUMA elements, such as the comfort of a SoftFoam+ insole and a rubber sole, for a sleek and sporty look, perfect for sneaker fans looking for a chic novelty for their wardrobe.",3 payments of  RM76.76 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Cloudfoam Move Lounger Men's Shoes Blue,RM160.30,30%,//al-ikhsan.com/cdn/shop/files/id6511_f.jpg?crop=center&height=1100&v=1723083587&width=1100,SKU: ID6511-6,Adidas Cloudfoam Move Lounger Men's Shoes BLUE,3 payments of  RM53.43 with,"0 full, 0 half, 5 off",N/A
PUMA,Puma RS X 3D Men's Sneakers MULTI,RM284.50,50%,//al-ikhsan.com/cdn/shop/files/3_9_390025-08_2.jpg?crop=center&height=1100&v=1723025788&width=1100,SKU: 390025 08-10,"View Product Details
        





X

PRODUCT STORY
Add a new dimension to your look in bold strides. The revolution of self expression starts here.  with disruptive shapes and bright contrasts that make their mark on the world   just like you.
FEATURES and  BENEFITS
Running System.  PUMA's comfortable cushioning technology celebrates the reinvention of a unique moment and movement in culture
PRODUCT DETAILS
   Textile and mesh upper with synthetic overlays
   Lightweight PU midsole
   Rubber outsole
   Nano printed PUMA Formstrip on lateral and medial sides
   PUMA branding on tongue label
   Rubber heel piece with PUMA branding
PRODUCT COLOUR .   Puma White/ Ash Gray",3 payments of  RM94.83 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max SC Men's Shoes White,RM213.00,40%,//al-ikhsan.com/cdn/shop/files/fq8737-100_f.jpg?crop=center&height=1100&v=1726657490&width=1100,SKU: FQ8737-100-12,"Nike Air Max SCMen's ShoesWith its heritage track look and visible cushioning, the Air Max SC is the perfect finish to any outfit. Lightweight, durable materials meet the demands you throw at them, making these sneakers the easy choice for whatever the day has in store for you.Leather in upper combines with airy knits and mesh for durable construction that's breathable and comfortable enough to wear all day.Originally designed for running, Max Air unit delivers lightweight cushioning with every step.Foam midsole adds cushioning that lasts.Rubber outsole provides traction and durability.
PRODUCT COLOUR :  White/ Game Royal/ Black",3 payments of  RM71.00 with,"0 full, 0 half, 5 off",N/A
