Brand,Product Name,Price (RM),Discount (%),Product Image URL,SKU,Description,Installment,Rating,Reviews
NIKE,Nike Waffle Debut Men's Shoes Brown,RM219.00,40%,//al-ikhsan.com/cdn/shop/files/fj4195-100_f.jpg?crop=center&height=1100&v=1726657395&width=1100,SKU: FJ4195-100-10,"Nike Waffle DebutMen's ShoesRetro gets modernized with these sleek sneaks inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colors, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole?€?this is a perfect new addition to your daily rotation.Lifted foam midsoles give you an elevated look and all-day comfort.Soft suede overlays nod to vintage materials while textile underlays add durability.Rubber Waffle outsole adds durable traction and heritage style. More Details 

Padded collar
Exposed foam tongue
Traditional lacing
Perforations on heel

PRODUCT COLOUR :  White/ Black/ Phantom/ Summit White",3 payments of  RM73.00 with,"5 full, 0 half, 0 off","Size fits well. Delivery is also efficient, the tracking is accurate and the dispatcher informed me after the item have been delivered. The item is genuine product and the quality is very good."
NIKE,NIKE COURT VISION MID NEXT NATURE MEN'S SHOES WHITE,RM185.40,40%,//al-ikhsan.com/cdn/shop/files/d_n_dn3577-100_f.jpg?crop=center&height=1100&v=1726657147&width=1100,SKU: DN3577-100-10,"Nike Court Vision Mid Next NatureMen's ShoesFRESH OFF THE COURT.In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Mid. A classic remixed with at least 20% recycled materials by weight. We replaced leather with recycled and synthetic materials that keeps the soul of the original style. Its crisp upper and stitched overlays stays true to its origins. The plush collar keeps it sleek and comfortable for your world.Made with at least 20% recycled material by weight.Using synthetic materials, the design features materials that echo mid-1980s basketball shoes.Padded collar looks sleek and feels great while the perforations on the toe and sides add comfort and breathability.",3 payments of  RM61.80 with,"0 full, 0 half, 5 off",N/A
SKECHERS,Skechers Women Lifestyle Go Walk 7 Black,RM351.20,20%,//al-ikhsan.com/cdn/shop/files/216633-CCBK_F_562559a2-de68-4607-9784-0eb6009a4aef.jpg?crop=center&height=1100&v=1726633492&width=1100,SKU: 216633-CCBK-10,"No cancellation of order, EXCHANGE, or refund will be entertained, unless the item you have ordered is out of stock or we are unable to fulfill your order for any reason whatsoever.If an item is defective, we will replace the item once the defective item is returned to us, provided that we receive notice of the defect within seven (7) days of receipt of such defective item by you, together with the receipt evidencing the purchase made by you.Read Complete Policy »",3 payments of  RM117.06 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Softride Pro Echo Slip-On Men's Lifestyle Shoe,RM289.00,N/A,//al-ikhsan.com/cdn/shop/files/bee47753e88647ed3a47d7e4fe41d7d0-463x463.jpg?crop=center&height=463&v=1726132778&width=463,SKU: 378691 07-6,"PRODUCT STORY
Meet the walking shoe with running DNA for those committed to an active lifestyle. Designed with engineered knit uppers and FuzionFit technology for targeted support and comfort, the Softride Pro tooling features flex grooves for enhanced comfort and targeted rubber coverage for ample traction.

FEATURES & BENEFITS

SOFTRIDE: Soft foam designed for all-day cushioning and comfort



DETAILS

Synthetic and leather upper
Rubber and synthetic outsole
Slip-on
One-piece engineered knit: bootie construction designed for style and snug fit
Comfort collar for increased comfort and secure lockdown
White/Black",3 payments of  RM96.33 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Flection 3.0 Men's Lifestyle Shoes Black,RM159.20,20%,//al-ikhsan.com/cdn/shop/files/8790233-BKRD_2.jpg?crop=center&height=1100&v=1731469163&width=1100,SKU: 8790233-BKRD-10,"Liverpool FC Stadium GoalkeeperMen's Nike Dri-FIT Soccer Replica Short-Sleeve JerseyOur Stadium collection pairs replica design details with sweat-wicking technology to give you a game-ready look inspired by your favorite team.Nike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Replica design gives you details modeled after what the team wears. More Details 

100% polyester
Machine wash
Imported
100% POLYESTER
View Product Details

X0",3 payments of  RM53.06 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Hypnotic LS Men's Shoes Black,RM369.00,N/A,//al-ikhsan.com/cdn/shop/files/395295_02_s.jpg?crop=center&height=1100&v=1724055083&width=1100,SKU: 395295 02-11,"PRODUCT STORY
Introducing a trendy and comfortable shoe designed for consumers who want both style and comfort. This shoe is made with softride foam technology that ensures maximum comfort, even when worn for extended periods. The styles suede look and feel give it a modern, sleek appearance, making it the perfect choice for those looking to keep up with the latest fashion trends. Whether you're running errands or heading out with friends, this shoe is the perfect accessory to complete your trendy look.

FEATURES & BENEFITS
The upper of the shoes is made with at least 30% recycled materials.
DETAILS
Synthetic suede and mesh upper
Softride midsole
Rubber outsole
Lace closure
PUMA Cat logo on tongue and heel",3 payments of  RM123.00 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Court Lite Lifestyle Shoes Beige,RM175.20,20%,//al-ikhsan.com/cdn/shop/files/1TM01781G-920_1.jpg?crop=center&height=1100&v=1731477420&width=1100,SKU: 1TM01781G-920-230,"Liverpool FC Stadium GoalkeeperMen's Nike Dri-FIT Soccer Replica Short-Sleeve JerseyOur Stadium collection pairs replica design details with sweat-wicking technology to give you a game-ready look inspired by your favorite team.Nike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Replica design gives you details modeled after what the team wears. More Details 

100% polyester
Machine wash
Imported

100% POLYESTER


View Product Details



X
0",3 payments of  RM58.40 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Hypnotic LS Men's Shoes White,RM295.20,20%,//al-ikhsan.com/cdn/shop/files/395295_04_f.jpg?crop=center&height=1100&v=1723093001&width=1100,SKU: 395295 04-6H,Puma Hypnotic LS Men's Shoes White,3 payments of  RM98.40 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Predator Freestyle Men's Futsal Shoes Grey,RM359.20,20%,//al-ikhsan.com/cdn/shop/files/if8351_f.jpg?crop=center&height=1100&v=1723090627&width=1100,SKU: IF8351-6,"PRODUCT DESCRIPTIONS
PREDATOR BOOTS FOR CASUAL PLAY AND OFF-PITCH WEAR. 
The game's all about goals, and these football boots are crafted to find the net. Every. Time. Target perfection in all-new adidas Predator. Ideal for casual games and wearing beyond the touchline, they share the same comfortable suede and mesh upper as the specialist indoor court Preds. Beneath that lightweight Lightstrike midsole, though, sits a grippy Samba outsole.
PRODUCT DETAILS
-  Regular fit
-  Lace closure
-  Suede and mesh upper
-  Lightstrike cushioning
-  Anti-abrasive toe cap
-  Product Colour :  Grey One F17/ Cloud White/  Team Solar Yellow 2",3 payments of  RM119.73 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Court Classic Vulcanized Mid Men's Sneakers Black,RM188.30,30%,//al-ikhsan.com/cdn/shop/files/396149_02_f.jpg?crop=center&height=1100&v=1723090057&width=1100,SKU: 396149 02-6,PUMA Court Classic Vulcanized Mid Men's Sneakers Black,3 payments of  RM62.76 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Trinity Lite Men's Sneakers Black,RM251.30,30%,//al-ikhsan.com/cdn/shop/files/389292_19_f.jpg?crop=center&height=1100&v=1723089660&width=1100,SKU: 389292 19-11,"PRODUCT STORY
The Trinity Lite takes inspiration from running shoes and adds chunky retro elements to up your style. These sneakers feature synthetic overlays set against a mesh upper, and a SoftFoam+ sockliner to provide underfoot cushioning, every step of your day.
FEATURES & BENEFITS
Recycled Content : The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
SOFTFOAM+ : Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
PRODUCT DETAILS
-  Mesh upper with synthetic overlays
-  IMEVA midsole featuring PUMA branding
-  Rubber pods on outsole
-  Futro aesthetic
-  PUMA Formstrip on medial and lateral sides
-  PUMA Cat Logo on back heel
MATERIAL INFORMATION
Sockliner : 100% Textile
Outsole : 70% Synthetic, 30% Rubber
Upper : 69.70% Synthetic, 30.30% Textile
Lining : 100% Textile
PRODUCT COLOUR :  Puma Black/ Silver Mist/  Puma White/  Clementine",3 payments of  RM83.76 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Trinity Lite Men's Sneakers White,RM251.30,30%,//al-ikhsan.com/cdn/shop/files/389292_20_f.jpg?crop=center&height=1100&v=1723087564&width=1100,SKU: 389292 20-10,"PRODUCT STORY
The Trinity Lite takes inspiration from running shoes and adds chunky retro elements to up your style. These sneakers feature synthetic overlays set against a mesh upper, and a SoftFoam+ sockliner to provide underfoot cushioning, every step of your day.
FEATURES & BENEFITS
Recycled Content : The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
SOFTFOAM+ : Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
PRODUCT DETAILS
-  Mesh upper with synthetic overlays
-  IMEVA midsole featuring PUMA branding
-  Rubber pods on outsole
-  Futro aesthetic
-  PUMA Formstrip on medial and lateral sides
-  PUMA Cat Logo on back heel
MATERIAL INFORMATION
Sockliner : 100% Textile
Outsole : 70% Synthetic, 30% Rubber
Upper : 69.70% Synthetic, 30.30% Textile
Lining : 100% Textile
PRODUCT COLOUR :  Silver Mist/  Puma Black/  Puma White/  Club Red",3 payments of  RM83.76 with,"0 full, 0 half, 5 off",N/A
UMBRO,Umbro Terrace Men's Shoes Blue,RM149.40,40%,//al-ikhsan.com/cdn/shop/files/40417u-mdh_f.jpg?crop=center&height=1100&v=1723087328&width=1100,SKU: 40417U-MDH-10,Umbro Terrace Men's Shoes Blue,3 payments of  RM49.80 with,"0 full, 0 half, 5 off",N/A
UMBRO,Umbro Terrace Men's Shoes White,RM149.40,40%,//al-ikhsan.com/cdn/shop/files/40417u-me7_f.jpg?crop=center&height=1100&v=1723087318&width=1100,SKU: 40417U-ME7-10,Umbro Terrace Men's Shoes White,3 payments of  RM49.80 with,"0 full, 0 half, 5 off",N/A
UMBRO,Umbro Diamondback 500T Men's Shoes White,RM149.40,40%,//al-ikhsan.com/cdn/shop/files/40419u-me6_f.jpg?crop=center&height=1100&v=1723087297&width=1100,SKU: 40419U-ME6-10,Umbro Diamondback 500T Men's Shoes White,3 payments of  RM49.80 with,"0 full, 0 half, 5 off",N/A
SKECHERS,Skechers Track Men's Shoes Black,RM223.30,30%,//al-ikhsan.com/cdn/shop/files/232698-bkcc_f.jpg?crop=center&height=1100&v=1723086921&width=1100,SKU: 232698-BKCC-10,"PRODUCT DESCRIPTIONS
Add flexible comfort to your workouts with Skechers Track - Broader. This vegan training lace-up features an engineered mesh and synthetic upper with a cushioned Skechers Memory Foamâ„¢ insole.
PRODUCT DETAILS
- Skechers Memory Foamâ„¢ cushioned comfort insole
- Crafted with 100% vegan materials
- Lightweight training lace-up with an engineered mesh and synthetic upper
- Flexible cushioned midsole
- Super flexible traction outsole
- Machine washable
- SkechersÂ® logo detail",3 payments of  RM74.43 with,"0 full, 0 half, 5 off",N/A
ASICS,Asics Japan S Men's Sneakers Grey,RM149.50,50%,//al-ikhsan.com/cdn/shop/files/1201a173-021_1_3.jpg?crop=center&height=1100&v=1723086627&width=1100,SKU: 1201A173-021-10,"PRODUCT DESCRIPTIONS
Iconic court details re-imagined through a modern lens.

The JAPAN Sâ„¢ shoes are based on one of our throwback offerings from 1981. This reworked iteration is formed with a low-top silhouette that's complete with a court-inspired toe box and throwback colorways. Updated with a modified cupsole, this shoe is offers comfortable underfoot cushioning. Mimicking the aesthetic of a heritage basketball sneaker, this style is also paired with nostalgic branding, like the ASICSÂ® Stripes on the quarter-panels and ""ASICSÂ®"" lettering at the heel. The JAPAN Sâ„¢ shoe's vintage basketball aesthetic is also paired with iconic court-specific details that are inspired by footwear worn by basketball players in the 1980s.
PRODUCT DETAILS
-  Based on the original 1981 model
-  Modified cupsole
-  Timeless design
-  Product Width :  Standard
-  Product Colour : Clay Grey/ Oyster Grey",3 payments of  RM49.83 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max Sc Men's Shoes Brown,RM255.50,30%,//al-ikhsan.com/cdn/shop/files/fq6015-200_f.jpg?crop=center&height=1100&v=1723086166&width=1100,SKU: FQ6015-200-10,"Nike Air Max SCMen's ShoesWith its easy going lines, heritage track look and of course, visible Air cushioning, the Nike Air Max SC is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.Leather, textile and mesh combine for a durable construction that's breathable and comfortable to wear all day.Originally designed for performance running, the Max Air unit delivers lightweight cushioning with every step.The foam midsole adds cushioning to last.The rubber outsole provides traction and durability. More Details 

Traditional lacing
Flex grooves in sole let your foot move naturally.

PRODUCT COLOUR : Neutral Olive/ Medium Olive/ Light Bone",3 payments of  RM85.16 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max Solo Men's Shoes Brown,RM307.30,30%,//al-ikhsan.com/cdn/shop/files/fn0136-001_f.jpg?crop=center&height=1100&v=1723085412&width=1100,SKU: FN0136-001-10,"Nike Air Max SoloMen's ShoesTransition from winter to spring in comforting neutrals with a functional feel. These sneakers are for the Air Max superfans, combining elements from past Air Max models like the AM90-inspired heel cup. The AM180 influences the textured Air unit, which delivers just the right amount of cushioning. Go aheadâ€”Max out your look.Synthetic leather in the upper with airy mesh is durable and breathable.Plush and comfortable, Max Air cushioning has just the right amount of support.Rubber outsole gives you durable traction. More Details 

Foam midsole
Rubber outsole

PRODUCT COLOUR : Light Bone/ Neutral Olive/ Neutral Olive",3 payments of  RM102.43 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max SYSTM Men's Shoes White,RM239.40,40%,//al-ikhsan.com/cdn/shop/files/dm9537-105_f.jpg?crop=center&height=1100&v=1723084688&width=1100,SKU: DM9537-105-10,"Nike Air Max SYSTMMen's ShoesLooks Max, feels Max. The Air Max SYSTM brings back everything you love about your favorite '80s vibes (without the parachute pants). Tried-and-true visible Nike Air cushioning pairs with a sleek, sport-inspired upper. It's Air Max delivering again.Air Max AttitudeOriginally designed for performance running, Max Air cushioning delivers time-tested comfort.Vintage VibesInspired by all your favorite Air Max models from the '80s, you get heritage aesthetics with a modern feel.Lasting StyleMixed material upper delivers durability and breathability while a rubber outsole adds traction that lasts.
PRODUCT COLOUR :  White/ Stadium Green/ Black",3 payments of  RM79.80 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Cloudfoam Move Sock Men's Shoes Blue,RM188.30,30%,//al-ikhsan.com/cdn/shop/files/id6521_f.jpg?crop=center&height=1100&v=1723083542&width=1100,SKU: ID6521-10,Adidas Cloudfoam Move Sock Men's Shoes BLUE,3 payments of  RM62.76 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Kantana Men's Shoes WHITE,RM189.50,50%,//al-ikhsan.com/cdn/shop/files/i_g_ig9818_f.jpg?crop=center&height=1100&v=1723023051&width=1100,SKU: IG9818-6,"PRODUCT DESCRIPTIONS
STYLE THAT SYNCS COMFORT AND GOOD LOOKS.
Match point might have inspired these sleek adidas shoes, but their easy wearability goes way beyond the tennis court. Designed for everyday life, these sneakers have a leather upper detailed with soft suede overlays. The perforated toe cap punctuates the look, just like the smooth rubber outsole shapes the silhouette. Step into that moulded sockliner and you'll see   comfort wins day after day.
PRODUCT DETAILS
-  Regular fit
-  Lace closure
-  Leather upper with suede overlays
-  Padded collar
-  Textile lining
-  Moulded sockliner
-  Product Colour :  White/  Dash Grey/  Core Black",3 payments of  RM63.16 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS SPORTS FLECTION MEN'S SHOES GREY,RM181.30,30%,//al-ikhsan.com/cdn/shop/files/8_7_8790087-ccbk_f.jpg?crop=center&height=1100&v=1723021942&width=1100,SKU: 8790087-CCBK-10,"PRODUCT STORY 
Get the best of comfort and style in the SKECHERS Flection shoes. A mesh lace-up sporty sneaker design with Air Cooled Memory Foam.
PRODUCT STORY
-  Air-Cooled Memory FoamÃ‚Â® cushioned comfort insole
-  Lace-up sporty sneaker design
-  1 1/2 inch heel
-  SkechersÃ‚Â® logo detail",3 payments of  RM60.43 with,"0 full, 0 half, 5 off",N/A
SKECHERS,Skechers Terren Men's Shoes Grey,RM129.50,50%,//al-ikhsan.com/cdn/shop/files/8790100-CCBK_1_d463fbcf-e42a-488b-9938-02ad2f841fa7.jpg?crop=center&height=1100&v=1729755677&width=1100,SKU: 8790100-CCBK-10,TERREN GREY,3 payments of  RM43.16 with,"0 full, 0 half, 5 off",N/A
SKECHERS,Skechers Terren Men's Shoes Black,RM129.50,50%,//al-ikhsan.com/cdn/shop/files/8790100-BKRD_1.jpg?crop=center&height=1100&v=1729238554&width=1100,SKU: 8790100-BKRD-10,Skechers Terren Men's Shoes Black,3 payments of  RM43.16 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS MEN MODERN COOL LIFESTYLE BLACK,RM181.30,30%,//al-ikhsan.com/cdn/shop/files/8_7_8790014-bkor_f.jpg?crop=center&height=1100&v=1723021852&width=1100,SKU: 8790014-BKOR-10,SKECHERS MEN MODERN COOL LIFESTYLE BLACK,3 payments of  RM60.43 with,"0 full, 0 half, 5 off",N/A
SKECHERS,Skechers Burns 2.0 Men's Shoes GREY,RM181.30,30%,//al-ikhsan.com/cdn/shop/files/8790195-CCRD_1.jpg?crop=center&height=1100&v=1729755987&width=1100,SKU: 8790195-CCRD-12,"PRODUCT DESCRIPTIONS
Enjoy the simple comfort and casual style of Skechers Burns 2.0. This lace up features a mesh and synthetic upper and a Skechers Memory FoamÃ¢â€žÂ¢ cushioned comfort insole.
PRODUCT DETAILS
- Skechers Memory FoamÃ¢â€žÂ¢ cushioned comfort insole
- Shock-absorbing midsole
- Flexible traction outsole
- SkechersÃ‚Â® logo detail",3 payments of  RM60.43 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA MEN SUEDE CLASSIC XXI TRAINERS LIFESTYLE RED,RM194.50,50%,//al-ikhsan.com/cdn/shop/files/3_7_374915-06_f.jpg?crop=center&height=1100&v=1723020373&width=1100,SKU: 374915 06-11,"With its huge impact on footwear culture, PUMA's most iconic trainer first hit the scene in 1968 and has been worn by icons of every generation since. The Suede Classic XXI features a full suede upper alongside some modern touches for an improved overall quality and feel to an all-time great.",3 payments of  RM64.83 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA MEN SUEDE CLASSIC XXI TRAINERS LIFESTYLE BLACK,RM194.50,50%,//al-ikhsan.com/cdn/shop/files/3_7_374915-01_f.jpg?crop=center&height=1100&v=1723020363&width=1100,SKU: 374915 01-11,"With its huge impact on footwear culture, PUMA's most iconic trainer first hit the scene in 1968 and has been worn by icons of every generation since. The Suede Classic XXI features a full suede upper alongside some modern touches for an improved overall quality and feel to an all-time great.",3 payments of  RM64.83 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE COURT VISION LOW NEXT NATURE LIFESTYLE SHOES BLACK,RM220.00,20%,//al-ikhsan.com/cdn/shop/files/d_h_dh2987_001_f.jpg?crop=center&height=1100&v=1723016547&width=1100,SKU: DH2987-001-10,"Nike Court Vision Low Next NatureMen's ShoesFRESH OFF THE COURT.In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low. A classic remixed with at least 20% recycled materials by weight, its crisp upper and stitched overlays keep the soul of the original style. The plush, low-cut collar keeps it sleek and comfortable for your world.Made with at least 20% recycled material by weight.Whenever you see the Nike Sunburst or the name Next Nature (NN), you see one more step on our journey toward zero carbon and zero waste.Using synthetic materials, the design features materials that echo mid-1980s basketball shoes.Padded, low-cut collar looks sleek and feels great while the perforations on the toe and sides add comfort and breathability. More Details 

Perforations on the toe and sides
Rubber outsole",3 payments of  RM73.33 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE COURT ROYALE 2 NEXT NATURE MEN'S SHOES BLACK,RM184.50,10%,//al-ikhsan.com/cdn/shop/files/d_h_dh3160-001_f.jpg?crop=center&height=1100&v=1723016517&width=1100,SKU: DH3160-001-10,"Nike Court Royale 2 Next NatureMen's ShoesRETRO TENNIS STAPLE.A flash from the past meets modern times. The Nike Court Royale 2 Next Nature is made with at least 20% recycled content. Its synthetic upper looks crisp, feels smooth and is easy to wear. The large, retro Swoosh adds throwback appeal.Synthetic leather upper looks sharp, adds durability and is easy to style.Herringbone sole adds a fresh take on heritage styling, traction and durability.Padded, low-cut collar looks sleek and feels comfortable. More Details 

Comfort sockliner
Debossed Swoosh on the heel
Large Swoosh",3 payments of  RM61.50 with,"0 full, 0 half, 5 off",N/A
NIKE,NIKE COURT ROYALE 2 NEXT NATURE MEN'S SHOES WHITE,RM205.00,N/A,//al-ikhsan.com/cdn/shop/files/d_h_dh3160-101_f.jpg?crop=center&height=1100&v=1723016527&width=1100,SKU: DH3160-101-11,NIKE COURT ROYALE 2 NEXT NATURE MEN'S SHOES WHITE,3 payments of  RM68.33 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Ray Bumper Unisex Lifestyle Shoes Beige,RM319.00,N/A,//al-ikhsan.com/cdn/shop/files/1RM02696G-113_1_7c6c4510-e328-463c-b074-f173e8cb5ab2.jpg?crop=center&height=1100&v=1734080898&width=1100,SKU: 1RM02696G-113-240,A new chunky silhouette with mix material fabric and synthetic material upper and padded lining provides cushioning while wearing and extra comfortable.,3 payments of  RM106.33 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Trinity Lite Men's Lifestyle Shoes Multi,RM359.00,N/A,//al-ikhsan.com/cdn/shop/files/389292_24_1_c984d0f7-4b14-40d1-9a64-9dafc17ec83c.jpg?crop=center&height=1100&v=1734080906&width=1100,SKU: 389292 24-10,The Trinity Lite takes inspiration from running shoes and adds chunky retro elements to up your style. These sneakers feature synthetic overlays set against a mesh upper,3 payments of  RM119.66 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Club II Era Men's Lifestyle Shoes White,RM329.00,N/A,//al-ikhsan.com/cdn/shop/files/397447_06_1_b3e79b02-6b06-4077-ba55-7d3d4b0d4677.jpg?crop=center&height=1100&v=1734080940&width=1100,SKU: 397447 06-10,Step onto the streets in retro-inspired style. The PUMA Club II Era sneakers blend football heritage with modern design in smooth suede and leather. Superior cushioning,3 payments of  RM109.66 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Club II Era Men's Lifestyle Shoes White Black,RM329.00,N/A,//al-ikhsan.com/cdn/shop/files/397447_07_1_3a74944a-e920-4a60-a20f-4fb890dbf434.jpg?crop=center&height=1100&v=1734080948&width=1100,SKU: 397447 07-10,Step onto the streets in retro-inspired style. The PUMA Club II Era sneakers blend football heritage with modern design in smooth suede and leather. Superior cushioning,3 payments of  RM109.66 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Flection 3.0 Men's Lifestyle Shoes Black,RM159.20,20%,//al-ikhsan.com/cdn/shop/files/8790219-BKW_1_da17bd34-5adb-4468-a2e8-b3fd9d938376.jpg?crop=center&height=1100&v=1734596987&width=1100,SKU: 8790219-BKW-10,"SKECHERS Flection 3.0 Men's Lifestyle Shoes Black
For : Men's
Color : Black, white and Blue",3 payments of  RM53.06 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Ray Run V2 Unisex Lifestyle Shoes Brown,RM289.00,N/A,//al-ikhsan.com/cdn/shop/files/1RA02851G_925_1.jpg?crop=center&height=1100&v=1734940050&width=1100,SKU: 1RA02851G-925-230,"FILA Ray Run V2 Unisex Lifestyle Shoes Brown
Brand : FILA
For: Men & Women (Unisex)
Size in : US",3 payments of  RM96.33 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Oakmont TR V3 Unisex Lifestyle Shoes White,RM278.10,10%,//al-ikhsan.com/cdn/shop/files/1RM02706F_147_1.jpg?crop=center&height=1100&v=1734941032&width=1100,SKU: 1RM02706G-147-230,"FILA Oakmont TR V3 Unisex Lifestyle Shoes White
Brand : FILA
For: Unisex
Size in: Korea",3 payments of  RM92.70 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Tenacity 99/24 MF Unisex Lifestyle Shoes Grey,RM289.00,N/A,//al-ikhsan.com/cdn/shop/files/1RM02871G_071_1_b28f7dfe-8516-45ce-8118-d9c076bf61be.jpg?crop=center&height=1100&v=1734944931&width=1100,SKU: 1RM02871G-071-240,FILA Tenacity 99/24 MF Unisex Lifestyle Shoes Grey,3 payments of  RM96.33 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Offcourt Adjust Men's Slides White,RM179.00,N/A,//al-ikhsan.com/cdn/shop/files/DQ9624-101_2_064f3cf8-e31a-4f74-9ce6-77a871c19447.jpg?crop=center&height=1100&v=1735013658&width=1100,SKU: DQ9624-101-7,"Nike Offcourt Adjust Men's Slides
Post game, errands and more—adjust your comfort on the go. The adjustable, padded strap lets you perfect your fit, while the lightweight foam midsole brings first-class comfort to your feet. Contoured footbed cradles your foot to help keep it in place.
Dual-density foam provides lightweight cushioning. Hook-and-loop strap is lined with soft fabric for extra comfort. Logo label doubles as a pull tab to help open the strap.
Outsole features a pivot circle pattern for durability and traction.",3 payments of  RM59.66 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max Cirro Men's Slides Black Grey,RM175.00,N/A,//al-ikhsan.com/cdn/shop/files/DC1460-014_2_9c5fefb1-a090-4cc3-acb7-b0dbe0b00b20.jpg?crop=center&height=1100&v=1735201175&width=1100,SKU: DC1460-014-7,"Nike Air Max Cirro Men's Slides
SPORTY AND COMFY. MODERNIZED.
Whether you're hitting the gym or headed to the store, we've created a perfect go-between that delivers quick style and incredible comfort. Large, visible Air in the heel pairs with a comfy foam footbed for a striking statement in comfort.

Large Air unit in the heel delivers a modern look with incredible cushioning.
Plush strap feels soft and includes sporty ""AIR"" on the side and large Swoosh on top.
Foam footbed feels incredible straight out of the box. Cradled design and texture pattern helps keep your foot from sliding.",3 payments of  RM58.33 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Court Vision Low Next Nature Men's Shoes White Burgundy,RM247.50,10%,//al-ikhsan.com/cdn/shop/files/DH2987-113_2_ede5ba4d-b1ef-48bf-a808-fb0ee6189bf7.jpg?crop=center&height=1100&v=1735266392&width=1100,SKU: DH2987-113-10,"Nike Court Vision Low Next Nature Men's Shoes
FRESH OFF THE COURT.
In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low. A classic remixed with at least 20% recycled materials by weight, its crisp upper and stitched overlays keep the soul of the original style. The plush, low-cut collar keeps it sleek and comfortable for your world.
Made with at least 20% recycled material by weight. Whenever you see the Nike Sunburst or the name Next Nature (NN), you see one more step on our journey toward zero carbon and zero waste.
Using synthetic materials, the design features materials that echo mid-1980s basketball shoes. Padded, low-cut collar looks sleek and feels great while the perforations on the toe and sides add comfort and breathability
More Details:

Perforations on the toe and sides
Rubber outsole.",3 payments of  RM82.50 with,"0 full, 0 half, 5 off",N/A
